topic,top_words
0,"এই, করতে, আপনি, যে,, এটা, সেই, সঙ্গে, একজন, আপনার, যদি, কোন, মনে, না।, সময়, ঈশ্বরের"
1,"এই, হয়ে, হয়, হয়।, না।, বাংলা, আল্লাহ, করেন।, কোন, করতে, নিয়ে, মুসলিম, আল্লাহর, দিয়ে, যে,"
2,"এই, ওই, নিয়ে, সেই, কোনও, সঙ্গে, আরও, হয়েছে।, হয়ে, দিন, শুরু, দেওয়া, অভিযোগ, হয়েছে, পর"
3,"রান, প্রথম, এই, ক্রিকেট, উইকেট, দলের, রানের, শেষ, নিয়ে, ম্যাচে, ম্যাচ, হয়ে, টেস্ট, রানে, করতে"
4,"কোটি, হবে।, লাখ, সৌদি, বাংলাদেশ, করতে, পারে।, হাজার, টাকা, গত, এই, সঙ্গে, বছরের, শতাংশ, বছর"
5,"এই, ভারতের, সঙ্গে, নিয়ে, ভারত, ভারতীয়, পাকিস্তানের, হয়।, প্রধানমন্ত্রী, করতে, সরকার, পর, পাকিস্তান, সালে, দেশের"
6,"হয়েছে।, এই, হয়।, পর, সঙ্গে, বলেন,, ওই, নিহত, জন, গত, মার্কিন, হামলার, নিয়ে, হামলা, সময়"
7,"না।, এই, হয়ে, কথা, মনে, নিয়ে, দিয়ে, করতে, সেই, হয়, তাই, একটু, কোন, চলে, সময়"
8,"করেন।, হয়।, সালের, আদালতে, মামলার, মো., সালে, করেন, মামলায়, মামলা, আদালত, রহমান, সম্পাদক, গত, ঢাকা"
9,"করতে, এই, না।, বলেন,, হবে।, দেশের, কথা, নিয়ে, শেখ, যদি, কোন, বাংলাদেশের, এটা, যারা, কাজ"
10,"এই, সালে, নিয়ে, মার্কিন, হয়।, বছর, প্রেসিডেন্ট, করতে, প্রথম, যুক্তরাষ্ট্রের, সঙ্গে, হয়ে, সবচেয়ে, সালের, বিশ্বের"
11,"বলেন,, হাজার, হয়েছে।, হবে।, হয়।, বাংলাদেশ, বিশ্ববিদ্যালয়ের, এই, জন, শিক্ষা, বিভিন্ন, লাখ, করতে, সরকারি, নিয়ে"
12,"এই, নিয়ে, সঙ্গে, ছবি, অভিনয়, গান, ছবির, পর, কাজ, সেই, তিনি।, চলচ্চিত্র, শুরু, কথা, হয়ে"
13,"পুলিশ, হয়।, হয়েছে।, জানান,, ওই, উপজেলার, বলেন,, নিয়ে, উদ্ধার, থানার, সময়, আটক, নিহত, পুলিশের, গ্রামের"
14,"এই, গোল, ম্যাচে, নিয়ে, ফুটবল, হয়ে, শেষ, পর, দলের, ম্যাচ, গোলে, প্রথম, মাঠে, কোচ, মিনিটে"
15,"বলেন,, আওয়ামী, নির্বাচন, লীগের, বিএনপির, সম্পাদক, দলের, বিএনপি, সভাপতি, জাতীয়, নির্বাচনে, খালেদা, নিয়ে, প্রার্থী, ভোট"
16,"টাকা, দাম, এই, করিয়া, হাজার, না।, বিক্রি, তাহার, হইতে, হইয়া, করিতে, কোন, কোটি, হয়, টাকা।"
17,"হয়ে, এই, দিয়ে, পানি, হয়।, বলেন,, না।, করতে, নিয়ে, সময়, যায়।, সঙ্গে, হবে।, হয়, কাজ"
18,"এই, হয়।, জেলার, রয়েছে।, করে।, হয়, প্রায়, শহরের, এখানে, রয়েছে, জেলা, সালে, নং, হল, অবস্থিত"
19,"এই, করতে, ব্যবহার, নতুন, মোবাইল, কাজ, আপনার, তৈরি, হয়।, হবে।, তথ্য, বিভিন্ন, কোন, নিয়ে, টি"
